index,LINEA,estacion_actual,siguiente_estacion,A2A_n,A2A_p50,A2A_p10,A2A_p25,A2A_p75,A2A_p90,A2A_mean_trim10,A2A_std,A2A_discard_ratio,D2A_n,D2A_p50,D2A_p10,D2A_p25,D2A_p75,D2A_p90,D2A_mean_trim10,D2A_std,D2A_discard_ratio,ETA_usuario_s,ETA_operativo_s,ETA_sugerido_s
30,Linea_1,MERCADO CENTRAL,BEATAS DE BELÉN,1720.0,300.0,147.0,209.0,398.0,496.0,305.2059496567506,133.1891745458258,0.048255813953488325,1198.0,155.0,60.0,109.0,194.0,279.4,152.80570801317234,78.47431616440966,0.05091819699499167,300.0,155.0,300.0
31,Linea_1,MERCADO CENTRAL,CENTRO CÍVICO,168.0,505.5,395.5,444.0,619.0,776.5,532.0818181818182,157.09288965574527,0.19047619047619047,12.0,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0.33333333333333337,505.5,300.0,505.5
32,Linea_1,MERCADO CENTRAL,CORREOS,41342.0,93.0,52.0,60.0,120.0,145.0,92.49601845414902,39.26142011108197,0.04320061922500118,29076.0,59.0,6.0,13.0,66.0,76.0,44.41994400746567,30.55415416452405,0.032638602283670326,93.0,59.0,93.0
33,Linea_1,MERCADO CENTRAL,GÓMEZ CARRILLO,2.0,700.5,699.3,699.75,701.25,701.7,700.5,2.1213203435596424,0.0,0.0,,,,,,,,,700.5,,700.5
34,Linea_1,MERCADO CENTRAL,PARQUE CENTENARIO,1.0,876.0,876.0,876.0,876.0,876.0,876.0,,0.0,0.0,,,,,,,,,876.0,,876.0
35,Linea_1,MERCADO CENTRAL,PASEO DE LAS LETRAS,483.0,537.0,397.0,449.0,829.0,1045.8000000000002,609.5900783289817,255.5761751542676,0.012422360248447228,42.0,300.0,66.0,132.0,300.0,300.0,231.6,101.14491803568009,0.1428571428571429,537.0,300.0,537.0
36,Linea_1,MERCADO CENTRAL,SAN SEBASTIÁN,164.0,23.0,7.0,11.0,60.0,61.0,33.584070796460175,26.321088428266645,0.1402439024390244,33.0,78.0,4.2,10.0,373.0,554.4000000000001,175.11111111111111,258.3045279639261,0.0,23.0,78.0,23.0
37,Linea_1,PARQUE CENTENARIO,BEATAS DE BELÉN,78.0,260.0,140.6,177.0,375.0,466.3999999999999,273.76271186440675,142.528518602125,0.0641025641025641,65.0,150.0,62.4,99.5,256.0,322.20000000000005,170.2941176470588,104.25315058089126,0.03076923076923077,260.0,150.0,260.0
38,Linea_1,PARQUE CENTENARIO,CENTRO CÍVICO,9.0,32.0,6.6,11.0,41.5,52.2,28.142857142857142,19.70979935149494,0.2222222222222222,0.0,,,,,,,,,32.0,,32.0
39,Linea_1,PARQUE CENTENARIO,CORREOS,124.0,60.0,60.0,60.0,60.0,60.0,60.0,2.7436399332992965,0.29032258064516125,15.0,57.0,10.700000000000001,20.75,74.5,102.10000000000001,53.3,36.94744424670854,0.19999999999999996,60.0,57.0,60.0
