Placa,min_fecha,max_fecha,linea
BI003,2024-05-13 04:49:34,2024-05-13 19:28:24,Linea_12
BI004,2024-05-13 04:56:18,2024-05-13 19:39:44,Linea_12
BI005,2024-05-13 04:59:08,2024-05-13 18:49:46,Linea_12
BI006,2024-05-13 04:20:27,2024-05-13 18:55:27,Linea_12
BI007,2024-05-13 04:24:30,2024-05-13 18:50:07,Linea_12
BI008,2024-05-13 04:24:36,2024-05-13 19:05:07,Linea_12
BI009,2024-05-13 04:28:49,2024-05-13 19:06:29,Linea_12
BI010,2024-05-13 04:33:43,2024-05-13 19:13:04,Linea_12
BI011,2024-05-13 04:35:16,2024-05-13 19:04:35,Linea_12
BI012,2024-05-13 04:40:12,2024-05-13 19:16:23,Linea_12
BI013,2024-05-13 04:42:49,2024-05-13 19:27:56,Linea_12
